tid,sector,category,serial,cardId,name,tier,cardType,weaponId,upgradeTier,overdriveBonus,skillTag1,skillTag2,weaponFlag1,weaponFlag2,stackLimit,triggerType,effectSummary,conflictGroup,cardCategory,prerequisite1,prerequisite2,requiresLabel1,requiresLabel2,excludesLabel1,excludesLabel2,grantsLabel1,grantsLabel2,grantsLabel3,grantsLabel4,grantsLabelStacks,grantsLabelDuration,requirements,battlefieldEffectId
71030001,71,3,1,card:calibrated-output,Calibrated Output,COMMON,SKILL_CORE,,0,,baseDamage,,,,3,passive,+12%基础伤害，可叠3层，强度与Strength/Insight相乘,core_damage,core,,,,,,,stat:base-damage,,,,1,,,
71030002,71,3,2,card:rapid-actuator,Rapid Actuator,RARE,SKILL_CORE,,0,,attackTempo,,,,1,passive,攻速+18%，超载冷却+6s，Dominance≥7时额外+4%,core_attack_speed,core,,,,,,,stat:attack-tempo,,,,1,,,
71030003,71,3,3,card:quick-load-assembly,Quick Load Assembly,COMMON,SKILL_CORE,,0,,reloadSpeed,,hasMagazine,,2,passive,装填时间-20%，对弹匣武器生效,core_reload,core,,,,,,,trait:magazine,stat:reload-speed,,,1,,,
71030004,71,3,4,card:harmonic-sight,Harmonic Sight,RARE,SKILL_CORE,,0,,critChance,,,,1,passive,暴击率+6%，暴击伤害+20%，Dominance≥7额外+2%,core_crit,core,,,,,,,stat:crit,,,,1,,,
71030005,71,3,5,card:flux-chamber,Flux Chamber,RARE,SKILL_CORE,,0,,projectileSize,spreadControl,isProjectile,isEnergy,1,passive,碰撞体积+15%，散射-2°，束光宽度+4px,projectile_geometry,archetype,,,,,,,style:flux,,,,1,,,
71030006,71,3,6,card:vector-booster,Vector Booster,COMMON,SKILL_CORE,,0,,projectileSpeed,,isProjectile,,2,passive,投射速度+18%，寿命+0.5s，对WPN-05额外+8%追踪,projectile_velocity,core,,,,,,,stat:projectile-speed,,,,1,,,
71030007,71,3,7,card:orbit-stabilizer,Orbit Stabilizer,EPIC,SKILL_CORE,,0,,projectileLifetime,ricochet,isProjectile,,1,passive,投射寿命+60%，命中后可额外弹跳一次,projectile_behavior,archetype,,,weapon:launcher,,,,style:orbit,,,,1,,,
71030008,71,3,8,card:burst-scheduler,Burst Scheduler,EPIC,SKILL_CORE,,0,,burstFire,,isProjectile,isEnergy,1,passive,每次射击追加1发65%威力投射物，热量/弹药消耗相同倍率,projectile_behavior,archetype,,,,,,,style:burst,,,,1,,,
71030009,71,3,9,card:shrapnel-loop,Shrapnel Loop,EPIC,SKILL_CORE,,0,,ricochet,,isProjectile,,1,passive,增加1次弹射，伤害-30%，与速度/寿命加成协同,projectile_path,archetype,,,,,,,style:spread,style:ricochet,,,1,,,
71030010,71,3,10,card:focused-pattern,Focused Pattern,RARE,SKILL_CORE,,0,,spreadControl,critChance,,,1,passive,散射角-6°，暴击率+6%,projectile_spread,archetype,,,weapon:scatter,,,,style:focus,,,,1,,,
71030011,71,3,11,card:cryo-lattice,Cryo Lattice,RARE,SKILL_CORE,,0,,freeze,,isProjectile,,1,onHit,命中冻结1.5s或减速60%，与虚空收割者Tier2联动,status_control,archetype,,,,,,,status:freeze,,,,1,,,
71030012,71,3,12,card:irradiated-core,Irradiated Core,EPIC,SKILL_CORE,,0,,radiation,,isEnergy,,1,onHit,"施加持续辐射DoT(10/s,3层)，Insight每点+2%",status_damage,archetype,,,,,,,status:radiation,,,,1,,,
71030013,71,3,13,card:thermal-brand,Thermal Brand,RARE,SKILL_CORE,,0,,ignite,,isProjectile,,1,onHit,命中触发燃烧20/s持续4s，暴击翻倍,status_damage,archetype,,,,,,,status:ignite,,,,1,,,
71030014,71,3,14,card:aegis-matrix,Aegis Matrix,RARE,SKILL_CORE,,0,,shieldCapacity,,,,2,passive,护盾+45，可叠2次，受Endurance与Insight共同影响,defense_core,core,,,,,,,stat:shield,,,,1,,,
71030015,71,3,15,card:orbital-saw,Orbital Saw,EPIC,SKILL_CORE,,0,,meleeOrbit,,,,1,active,生成环绕刃每秒55伤害，半径120px,defense_orbit,archetype,,,,,,,module:sentinel,style:orbit-saw,,,1,,,
71030016,71,3,16,card:counter-wave,Counter Wave,RARE,SKILL_CORE,,0,,counterGuard,,,,1,onHit,受击触发1s霸体并反伤60%，冷却12s,defense_reactive,archetype,,,,,,,trait:counter,status:counter,,,1,,,
71030017,71,3,17,card:vital-infusion,Vital Infusion,COMMON,SKILL_CORE,,0,,healthRegen,,,,2,passive,基础生命回复+2/s，战斗时效果50%,survival,core,,,,,,,stat:regen,,,,1,,,
71030018,71,3,18,card:blood-chorus,Blood Chorus,EPIC,SKILL_CORE,,0,,lifeSteal,,isMelee,,1,passive,吸血4%，束光武器额外+2%,survival,archetype,,,,,,,trait:lifesteal-base,status:life-steal,,,1,,,
71030019,71,3,19,card:learning-matrix,Learning Matrix,COMMON,SKILL_CORE,,0,,xpGain,,,,1,passive,经验+25%，拾取半径+60px,economy,core,,,,,,,stat:xp,,,,1,,,
71030020,71,3,20,card:scavenger-protocol,Scavenger Protocol,RARE,SKILL_CORE,,0,,dropRate,,,,1,passive,掉落率+18%，Luck每点额外+2%,economy,core,,,,,,,stat:drop-rate,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
